Date,Open,High,Low,Close,Volume,Currency
2010-01-03,5975.52,6058.02,5961.25,6037.61,590462208,EUR
2010-01-10,6057.93,6094.26,5866.84,5875.97,619162816,EUR
2010-01-17,5897.63,5988.8,5639.49,5695.32,627889600,EUR
2010-01-24,5662.85,5718.81,5540.33,5608.79,798925568,EUR
2010-01-31,5587.5,5733.71,5433.02,5434.34,806855808,EUR
2010-02-07,5476.47,5592.27,5434.4,5500.39,637464832,EUR
2010-02-14,5525.74,5729.58,5498.07,5722.05,537279616,EUR
2010-02-21,5741.0,5743.89,5518.27,5598.46,628148288,EUR
2010-02-28,5652.85,5880.25,5641.18,5877.36,534862592,EUR
2010-03-07,5891.74,5989.88,5838.17,5945.11,494770112,EUR
2010-03-14,5933.63,6041.95,5898.22,5982.43,642634112,EUR
2010-03-21,5960.85,6139.5,5910.85,6120.05,590041408,EUR
2010-03-28,6150.17,6238.57,6108.23,6235.56,413846688,EUR
2010-04-04,6250.01,6265.32,6138.02,6249.7,384169312,EUR
2010-04-11,6283.81,6310.76,6162.84,6180.9,638337792,EUR
2010-04-18,6158.6,6287.54,6140.38,6259.53,714995392,EUR
2010-04-25,6317.13,6341.52,6024.01,6135.7,907514688,EUR
2010-05-02,6122.76,6197.0,5655.18,5715.09,1182999680,EUR
2010-05-09,5814.41,6276.8,5805.98,6056.71,930906496,EUR
2010-05-16,6029.91,6181.26,5689.18,5829.25,987088576,EUR
2010-05-23,5858.45,5980.78,5607.68,5946.18,741666880,EUR
2010-05-30,5933.58,6114.58,5833.61,5938.88,506332512,EUR
2010-06-06,5876.48,6089.43,5798.76,6047.83,659299072,EUR
2010-06-13,6113.46,6256.55,6089.32,6216.98,708390272,EUR
2010-06-20,6320.41,6330.81,6039.56,6070.6,491815616,EUR
2010-06-27,6097.37,6168.99,5827.25,5834.15,550882624,EUR
2010-07-04,5853.75,6078.56,5809.37,6065.24,473126400,EUR
2010-07-11,6079.95,6248.07,6018.64,6040.27,541980800,EUR
2010-07-18,6034.87,6190.24,5906.04,6166.34,439313312,EUR
2010-07-25,6201.02,6253.64,6059.19,6147.97,527223392,EUR
2010-08-01,6187.64,6386.97,6182.68,6259.63,531888000,EUR
2010-08-08,6326.62,6356.41,6068.82,6110.41,472875392,EUR
2010-08-15,6132.78,6229.46,5999.63,6005.16,451574304,EUR
2010-08-22,6017.19,6055.23,5837.9,5951.17,480288288,EUR
2010-08-29,5973.48,6178.01,5833.51,6134.62,471619296,EUR
2010-09-05,6156.29,6233.07,6062.65,6214.77,450152096,EUR
2010-09-12,6258.51,6321.2,6185.74,6209.76,641351872,EUR
2010-09-19,6231.28,6339.97,6129.44,6298.3,594273216,EUR
2010-09-26,6307.87,6339.36,6187.22,6211.34,578390016,EUR
2010-10-03,6205.0,6321.79,6115.87,6291.67,531099392,EUR
2010-10-10,6308.43,6512.78,6228.39,6492.3,574774400,EUR
2010-10-17,6465.83,6623.94,6461.48,6605.84,450747712,EUR
2010-10-24,6645.45,6668.54,6553.25,6601.37,486784288,EUR
2010-10-31,6637.09,6775.17,6586.01,6754.2,471597888,EUR
2010-11-07,6746.44,6810.86,6617.97,6734.61,566124032,EUR
2010-11-14,6705.13,6854.09,6653.57,6843.55,519765600,EUR
2010-11-21,6892.02,6901.93,6701.98,6848.98,517777408,EUR
2010-11-28,6867.77,6977.91,6655.94,6947.72,611591424,EUR
2010-12-05,6970.24,7042.67,6926.57,7006.17,525898208,EUR
2010-12-12,7027.58,7044.87,6964.13,6982.45,508710112,EUR
2010-12-19,7000.38,7087.84,6992.67,7057.69,245163696,EUR
2010-12-26,7055.32,7056.34,6897.22,6914.19,159557104,EUR
2011-01-02,6973.39,7047.59,6842.9,6947.84,450563904,EUR
2011-01-09,6920.36,7084.07,6835.74,7075.7,616432000,EUR
2011-01-16,7072.75,7165.0,7008.62,7062.42,639326016,EUR
