Date,Open,High,Low,Close
2010-01-03,2.392,2.392,2.392,2.392
2010-01-10,2.365,2.365,2.365,2.365
2010-01-17,2.305,2.305,2.305,2.305
2010-01-24,2.28,2.28,2.28,2.28
2010-01-31,2.158,2.158,2.158,2.158
2010-02-07,2.22,2.22,2.22,2.22
2010-02-14,2.296,2.296,2.296,2.296
2010-02-21,2.132,2.132,2.132,2.132
2010-02-28,2.168,2.168,2.168,2.168
2010-03-07,2.197,2.197,2.197,2.197
2010-03-14,2.152,2.152,2.152,2.152
2010-03-21,2.199,2.199,2.199,2.199
2010-03-28,2.133,2.133,2.133,2.133
2010-04-04,2.193,2.193,2.193,2.193
2010-04-11,2.117,2.117,2.117,2.117
2010-04-18,2.087,2.087,2.087,2.087
2010-04-25,1.975,1.975,1.975,1.975
2010-05-02,1.641,1.641,1.641,1.641
2010-05-09,1.662,1.662,1.662,1.662
2010-05-16,1.523,1.523,1.523,1.523
2010-05-23,1.569,1.569,1.569,1.569
2010-05-30,1.445,1.445,1.445,1.445
2010-06-06,1.468,1.468,1.468,1.468
2010-06-13,1.599,1.599,1.599,1.599
2010-06-20,1.5,1.5,1.5,1.5
2010-06-27,1.489,1.489,1.489,1.489
2010-07-04,1.589,1.589,1.589,1.589
2010-07-11,1.602,1.602,1.602,1.602
2010-07-18,1.691,1.691,1.691,1.691
2010-07-25,1.647,1.647,1.647,1.647
2010-08-01,1.513,1.513,1.513,1.513
2010-08-08,1.367,1.367,1.367,1.367
2010-08-15,1.286,1.286,1.286,1.286
2010-08-22,1.299,1.299,1.299,1.299
2010-08-29,1.346,1.346,1.346,1.346
2010-09-05,1.391,1.391,1.391,1.391
2010-09-12,1.44,1.44,1.44,1.44
2010-09-19,1.49,1.49,1.49,1.49
2010-09-26,1.508,1.508,1.508,1.508
2010-10-03,1.426,1.426,1.426,1.426
2010-10-10,1.484,1.484,1.484,1.484
2010-10-17,1.688,1.688,1.688,1.688
2010-10-24,1.711,1.711,1.711,1.711
2010-10-31,1.568,1.568,1.568,1.568
2010-11-07,1.625,1.625,1.625,1.625
2010-11-14,1.834,1.834,1.834,1.834
2010-11-21,1.767,1.767,1.767,1.767
2010-11-28,1.832,1.832,1.832,1.832
2010-12-05,1.998,1.998,1.998,1.998
2010-12-12,2.034,2.034,2.034,2.034
2010-12-19,1.904,1.904,1.904,1.904
2010-12-26,1.844,1.844,1.844,1.844
2011-01-02,1.787,1.787,1.787,1.787
2011-01-09,2.177,2.177,2.177,2.177
2011-01-16,2.349,2.349,2.349,2.349
2011-01-23,2.408,2.408,2.408,2.408
2011-01-30,2.461,2.461,2.461,2.461
2011-02-06,2.459,2.459,2.459,2.459
2011-02-13,2.417,2.417,2.417,2.417
2011-02-20,2.373,2.373,2.373,2.373
2011-02-27,2.591,2.591,2.591,2.591
2011-03-06,2.5,2.5,2.5,2.5
2011-03-13,2.476,2.476,2.476,2.476
2011-03-20,2.569,2.569,2.569,2.569
2011-03-27,2.71,2.71,2.71,2.71
2011-04-03,2.812,2.812,2.812,2.812
2011-04-10,2.715,2.715,2.715,2.715
2011-04-17,2.613,2.613,2.613,2.613
